Date,Room Number,Bed Number,Total Beds,Available Beds,Busy Bees
2006-03-17,1,Bed Number 1,92,56,36
2006-03-17,2,Bed Number 2,96,81,15
2006-03-17,3,Bed Number 3,25,16,9
2006-03-18,1,Bed Number 1,31,21,10
2006-03-18,2,Bed Number 2,26,18,8
2006-03-18,3,Bed Number 3,13,7,6
2006-03-19,1,Bed Number 1,46,38,8
2006-03-19,2,Bed Number 2,71,70,1
2006-03-19,3,Bed Number 3,44,23,21
2006-03-20,1,Bed Number 1,16,13,3
2006-03-20,2,Bed Number 2,39,19,20
2006-03-20,3,Bed Number 3,76,49,27
2006-03-21,1,Bed Number 1,60,22,38
2006-03-21,2,Bed Number 2,30,0,30
2006-03-21,3,Bed Number 3,91,51,40
2006-03-22,1,Bed Number 1,10,2,8
2006-03-22,2,Bed Number 2,57,40,17
2006-03-22,3,Bed Number 3,27,17,10
2006-03-23,1,Bed Number 1,62,22,40
2006-03-23,2,Bed Number 2,33,30,3
2006-03-23,3,Bed Number 3,68,22,46
2006-03-24,1,Bed Number 1,43,22,21
2006-03-24,2,Bed Number 2,37,22,15
2006-03-24,3,Bed Number 3,45,9,36
2006-03-25,1,Bed Number 1,24,8,16
2006-03-25,2,Bed Number 2,71,65,6
2006-03-25,3,Bed Number 3,10,3,7
2006-03-26,1,Bed Number 1,64,44,20
2006-03-26,2,Bed Number 2,53,5,48
2006-03-26,3,Bed Number 3,95,18,77
2006-03-27,1,Bed Number 1,74,21,53
2006-03-27,2,Bed Number 2,25,11,14
2006-03-27,3,Bed Number 3,25,14,11
2006-03-28,1,Bed Number 1,72,25,47
2006-03-28,2,Bed Number 2,25,25,0
2006-03-28,3,Bed Number 3,89,19,70
2006-03-29,1,Bed Number 1,15,3,12
2006-03-29,2,Bed Number 2,70,24,46
2006-03-29,3,Bed Number 3,30,12,18
2006-03-30,1,Bed Number 1,10,3,7
2006-03-30,2,Bed Number 2,39,0,39
2006-03-30,3,Bed Number 3,26,3,23
2006-03-31,1,Bed Number 1,77,12,65
2006-03-31,2,Bed Number 2,45,26,19
2006-03-31,3,Bed Number 3,16,0,16
2006-04-01,1,Bed Number 1,78,24,54
2006-04-01,2,Bed Number 2,66,1,65
2006-04-01,3,Bed Number 3,30,25,5
2006-04-02,1,Bed Number 1,96,65,31
2006-04-02,2,Bed Number 2,99,49,50
2006-04-02,3,Bed Number 3,47,29,18
2006-04-03,1,Bed Number 1,32,27,5
2006-04-03,2,Bed Number 2,62,33,29
2006-04-03,3,Bed Number 3,57,29,28
2006-04-04,1,Bed Number 1,52,43,9
2006-04-04,2,Bed Number 2,88,52,36
2006-04-04,3,Bed Number 3,42,30,12
2006-04-05,1,Bed Number 1,52,23,29
2006-04-05,2,Bed Number 2,30,13,17
2006-04-05,3,Bed Number 3,34,2,32
2006-04-06,1,Bed Number 1,72,47,25
2006-04-06,2,Bed Number 2,13,6,7
2006-04-06,3,Bed Number 3,19,1,18
2006-04-07,1,Bed Number 1,37,20,17
2006-04-07,2,Bed Number 2,12,4,8
2006-04-07,3,Bed Number 3,30,6,24
2006-04-08,1,Bed Number 1,30,25,5
2006-04-08,2,Bed Number 2,48,5,43
2006-04-08,3,Bed Number 3,86,65,21
2006-04-09,1,Bed Number 1,38,35,3
2006-04-09,2,Bed Number 2,35,35,0
2006-04-09,3,Bed Number 3,50,24,26
2006-04-10,1,Bed Number 1,25,0,25
2006-04-10,2,Bed Number 2,17,10,7
2006-04-10,3,Bed Number 3,17,16,1
2006-04-11,1,Bed Number 1,43,18,25
2006-04-11,2,Bed Number 2,24,12,12
2006-04-11,3,Bed Number 3,54,2,52
2006-04-12,1,Bed Number 1,52,23,29
2006-04-12,2,Bed Number 2,74,31,43
2006-04-12,3,Bed Number 3,49,35,14
2006-04-13,1,Bed Number 1,84,78,6
2006-04-13,2,Bed Number 2,37,36,1
2006-04-13,3,Bed Number 3,14,2,12
2006-04-14,1,Bed Number 1,18,4,14
2006-04-14,2,Bed Number 2,14,13,1
2006-04-14,3,Bed Number 3,28,10,18
2006-04-15,1,Bed Number 1,10,9,1
2006-04-15,2,Bed Number 2,50,27,23
2006-04-15,3,Bed Number 3,53,25,28
2006-04-16,1,Bed Number 1,40,23,17
2006-04-16,2,Bed Number 2,49,27,22
2006-04-16,3,Bed Number 3,37,37,0
2006-04-17,1,Bed Number 1,52,19,33
2006-04-17,2,Bed Number 2,87,84,3
2006-04-17,3,Bed Number 3,31,26,5
2006-04-18,1,Bed Number 1,43,7,36
2006-04-18,2,Bed Number 2,26,5,21
2006-04-18,3,Bed Number 3,72,47,25
2006-04-19,1,Bed Number 1,61,24,37
2006-04-19,2,Bed Number 2,77,2,75
2006-04-19,3,Bed Number 3,79,18,61
2006-04-20,1,Bed Number 1,53,33,20
2006-04-20,2,Bed Number 2,67,6,61
2006-04-20,3,Bed Number 3,89,12,77
2006-04-21,1,Bed Number 1,90,77,13
2006-04-21,2,Bed Number 2,85,84,1
2006-04-21,3,Bed Number 3,24,6,18
2006-04-22,1,Bed Number 1,88,59,29
2006-04-22,2,Bed Number 2,82,1,81
2006-04-22,3,Bed Number 3,64,12,52
2006-04-23,1,Bed Number 1,29,27,2
2006-04-23,2,Bed Number 2,12,2,10
2006-04-23,3,Bed Number 3,80,57,23
2006-04-24,1,Bed Number 1,57,9,48
2006-04-24,2,Bed Number 2,86,40,46
2006-04-24,3,Bed Number 3,48,32,16
2006-04-25,1,Bed Number 1,95,76,19
2006-04-25,2,Bed Number 2,78,67,11
2006-04-25,3,Bed Number 3,37,11,26
2006-04-26,1,Bed Number 1,95,14,81
2006-04-26,2,Bed Number 2,52,36,16
2006-04-26,3,Bed Number 3,81,56,25
2006-04-27,1,Bed Number 1,57,3,54
2006-04-27,2,Bed Number 2,87,53,34
2006-04-27,3,Bed Number 3,40,38,2
2006-04-28,1,Bed Number 1,56,25,31
2006-04-28,2,Bed Number 2,44,27,17
2006-04-28,3,Bed Number 3,67,54,13
2006-04-29,1,Bed Number 1,36,36,0
2006-04-29,2,Bed Number 2,47,9,38
2006-04-29,3,Bed Number 3,83,79,4
2006-04-30,1,Bed Number 1,35,22,13
2006-04-30,2,Bed Number 2,17,7,10
2006-04-30,3,Bed Number 3,36,31,5
2006-05-01,1,Bed Number 1,10,1,9
2006-05-01,2,Bed Number 2,42,35,7
2006-05-01,3,Bed Number 3,89,75,14
2006-05-02,1,Bed Number 1,85,54,31
2006-05-02,2,Bed Number 2,78,60,18
2006-05-02,3,Bed Number 3,97,70,27
2006-05-03,1,Bed Number 1,90,2,88
2006-05-03,2,Bed Number 2,76,68,8
2006-05-03,3,Bed Number 3,90,83,7
2006-05-04,1,Bed Number 1,65,10,55
2006-05-04,2,Bed Number 2,33,5,28
2006-05-04,3,Bed Number 3,52,41,11
2006-05-05,1,Bed Number 1,45,17,28
2006-05-05,2,Bed Number 2,15,1,14
2006-05-05,3,Bed Number 3,22,16,6
2006-05-06,1,Bed Number 1,33,11,22
2006-05-06,2,Bed Number 2,46,20,26
2006-05-06,3,Bed Number 3,41,23,18
2006-05-07,1,Bed Number 1,82,29,53
2006-05-07,2,Bed Number 2,81,64,17
2006-05-07,3,Bed Number 3,44,35,9
2006-05-08,1,Bed Number 1,54,41,13
2006-05-08,2,Bed Number 2,28,10,18
2006-05-08,3,Bed Number 3,37,37,0
2006-05-09,1,Bed Number 1,36,30,6
2006-05-09,2,Bed Number 2,80,53,27
2006-05-09,3,Bed Number 3,48,44,4
2006-05-10,1,Bed Number 1,15,12,3
2006-05-10,2,Bed Number 2,24,17,7
2006-05-10,3,Bed Number 3,34,32,2
2006-05-11,1,Bed Number 1,37,23,14
2006-05-11,2,Bed Number 2,44,0,44
2006-05-11,3,Bed Number 3,48,33,15
2006-05-12,1,Bed Number 1,36,7,29
2006-05-12,2,Bed Number 2,61,16,45
2006-05-12,3,Bed Number 3,18,13,5
2006-05-13,1,Bed Number 1,44,30,14
2006-05-13,2,Bed Number 2,58,22,36
2006-05-13,3,Bed Number 3,61,21,40
2006-05-14,1,Bed Number 1,39,11,28
2006-05-14,2,Bed Number 2,82,38,44
2006-05-14,3,Bed Number 3,90,46,44
2006-05-15,1,Bed Number 1,60,49,11
2006-05-15,2,Bed Number 2,30,11,19
2006-05-15,3,Bed Number 3,57,54,3
2006-05-16,1,Bed Number 1,96,87,9
2006-05-16,2,Bed Number 2,23,8,15
2006-05-16,3,Bed Number 3,12,0,12
2006-05-17,1,Bed Number 1,13,11,2
2006-05-17,2,Bed Number 2,71,35,36
2006-05-17,3,Bed Number 3,67,46,21
2006-05-18,1,Bed Number 1,65,42,23
2006-05-18,2,Bed Number 2,36,3,33
2006-05-18,3,Bed Number 3,99,40,59
2006-05-19,1,Bed Number 1,52,19,33
2006-05-19,2,Bed Number 2,73,52,21
2006-05-19,3,Bed Number 3,71,48,23
2006-05-20,1,Bed Number 1,39,13,26
2006-05-20,2,Bed Number 2,47,3,44
2006-05-20,3,Bed Number 3,78,12,66
2006-05-21,1,Bed Number 1,89,51,38
2006-05-21,2,Bed Number 2,45,10,35
2006-05-21,3,Bed Number 3,85,14,71
2006-05-22,1,Bed Number 1,85,40,45
2006-05-22,2,Bed Number 2,66,15,51
2006-05-22,3,Bed Number 3,41,3,38
2006-05-23,1,Bed Number 1,43,37,6
2006-05-23,2,Bed Number 2,12,9,3
2006-05-23,3,Bed Number 3,51,48,3
2006-05-24,1,Bed Number 1,26,5,21
2006-05-24,2,Bed Number 2,15,2,13
2006-05-24,3,Bed Number 3,19,8,11
2006-05-25,1,Bed Number 1,62,42,20
2006-05-25,2,Bed Number 2,40,28,12
2006-05-25,3,Bed Number 3,19,3,16
2006-05-26,1,Bed Number 1,89,13,76
2006-05-26,2,Bed Number 2,10,0,10
2006-05-26,3,Bed Number 3,30,7,23
2006-05-27,1,Bed Number 1,23,8,15
2006-05-27,2,Bed Number 2,28,16,12
2006-05-27,3,Bed Number 3,47,37,10
2006-05-28,1,Bed Number 1,21,11,10
2006-05-28,2,Bed Number 2,22,10,12
2006-05-28,3,Bed Number 3,41,0,41
2006-05-29,1,Bed Number 1,39,30,9
2006-05-29,2,Bed Number 2,11,3,8
2006-05-29,3,Bed Number 3,99,42,57
2006-05-30,1,Bed Number 1,55,11,44
2006-05-30,2,Bed Number 2,60,36,24
2006-05-30,3,Bed Number 3,94,10,84
2006-05-31,1,Bed Number 1,67,34,33
2006-05-31,2,Bed Number 2,26,14,12
2006-05-31,3,Bed Number 3,71,62,9
2006-06-01,1,Bed Number 1,42,42,0
2006-06-01,2,Bed Number 2,34,34,0
2006-06-01,3,Bed Number 3,57,27,30
2006-06-02,1,Bed Number 1,73,10,63
2006-06-02,2,Bed Number 2,74,14,60
2006-06-02,3,Bed Number 3,39,38,1
2006-06-03,1,Bed Number 1,35,16,19
2006-06-03,2,Bed Number 2,34,25,9
2006-06-03,3,Bed Number 3,96,3,93
2006-06-04,1,Bed Number 1,23,6,17
2006-06-04,2,Bed Number 2,50,23,27
2006-06-04,3,Bed Number 3,48,33,15
2006-06-05,1,Bed Number 1,90,84,6
2006-06-05,2,Bed Number 2,38,17,21
2006-06-05,3,Bed Number 3,60,51,9
2006-06-06,1,Bed Number 1,93,34,59
2006-06-06,2,Bed Number 2,35,0,35
2006-06-06,3,Bed Number 3,71,20,51
2006-06-07,1,Bed Number 1,21,13,8
2006-06-07,2,Bed Number 2,81,68,13
2006-06-07,3,Bed Number 3,82,59,23
2006-06-08,1,Bed Number 1,59,58,1
2006-06-08,2,Bed Number 2,53,0,53
2006-06-08,3,Bed Number 3,95,89,6
2006-06-09,1,Bed Number 1,42,17,25
2006-06-09,2,Bed Number 2,65,21,44
2006-06-09,3,Bed Number 3,71,69,2
2006-06-10,1,Bed Number 1,96,13,83
2006-06-10,2,Bed Number 2,39,30,9
2006-06-10,3,Bed Number 3,52,10,42
2006-06-11,1,Bed Number 1,32,30,2
2006-06-11,2,Bed Number 2,24,22,2
2006-06-11,3,Bed Number 3,18,16,2
2006-06-12,1,Bed Number 1,80,6,74
2006-06-12,2,Bed Number 2,67,18,49
2006-06-12,3,Bed Number 3,26,15,11
2006-06-13,1,Bed Number 1,71,71,0
2006-06-13,2,Bed Number 2,71,51,20
2006-06-13,3,Bed Number 3,67,65,2
2006-06-14,1,Bed Number 1,89,71,18
2006-06-14,2,Bed Number 2,26,8,18
2006-06-14,3,Bed Number 3,13,13,0
2006-06-15,1,Bed Number 1,80,72,8
2006-06-15,2,Bed Number 2,73,20,53
2006-06-15,3,Bed Number 3,48,35,13
2006-06-16,1,Bed Number 1,46,17,29
2006-06-16,2,Bed Number 2,69,42,27
2006-06-16,3,Bed Number 3,25,25,0
2006-06-17,1,Bed Number 1,22,2,20
2006-06-17,2,Bed Number 2,71,7,64
2006-06-17,3,Bed Number 3,96,58,38
2006-06-18,1,Bed Number 1,40,19,21
2006-06-18,2,Bed Number 2,31,9,22
2006-06-18,3,Bed Number 3,87,80,7
2006-06-19,1,Bed Number 1,32,7,25
2006-06-19,2,Bed Number 2,22,3,19
2006-06-19,3,Bed Number 3,39,3,36
2006-06-20,1,Bed Number 1,29,15,14
2006-06-20,2,Bed Number 2,10,6,4
2006-06-20,3,Bed Number 3,68,19,49
2006-06-21,1,Bed Number 1,18,6,12
2006-06-21,2,Bed Number 2,80,50,30
2006-06-21,3,Bed Number 3,61,24,37
2006-06-22,1,Bed Number 1,92,28,64
2006-06-22,2,Bed Number 2,55,6,49
2006-06-22,3,Bed Number 3,95,76,19
2006-06-23,1,Bed Number 1,93,56,37
2006-06-23,2,Bed Number 2,92,68,24
2006-06-23,3,Bed Number 3,19,1,18
2006-06-24,1,Bed Number 1,62,62,0
2006-06-24,2,Bed Number 2,79,65,14
2006-06-24,3,Bed Number 3,93,65,28
2006-06-25,1,Bed Number 1,93,66,27
2006-06-25,2,Bed Number 2,71,70,1
2006-06-25,3,Bed Number 3,70,20,50
2006-06-26,1,Bed Number 1,12,1,11
2006-06-26,2,Bed Number 2,47,8,39
2006-06-26,3,Bed Number 3,74,63,11
2006-06-27,1,Bed Number 1,94,2,92
2006-06-27,2,Bed Number 2,63,31,32
2006-06-27,3,Bed Number 3,94,11,83
2006-06-28,1,Bed Number 1,89,51,38
2006-06-28,2,Bed Number 2,51,3,48
2006-06-28,3,Bed Number 3,19,2,17
2006-06-29,1,Bed Number 1,86,42,44
2006-06-29,2,Bed Number 2,12,9,3
2006-06-29,3,Bed Number 3,11,9,2
2006-06-30,1,Bed Number 1,84,57,27
2006-06-30,2,Bed Number 2,100,59,41
2006-06-30,3,Bed Number 3,85,41,44
2006-07-01,1,Bed Number 1,54,26,28
2006-07-01,2,Bed Number 2,38,25,13
2006-07-01,3,Bed Number 3,92,56,36
2006-07-02,1,Bed Number 1,68,1,67
2006-07-02,2,Bed Number 2,10,9,1
2006-07-02,3,Bed Number 3,68,2,66
2006-07-03,1,Bed Number 1,50,44,6
2006-07-03,2,Bed Number 2,49,13,36
2006-07-03,3,Bed Number 3,43,17,26
2006-07-04,1,Bed Number 1,78,33,45
2006-07-04,2,Bed Number 2,38,11,27
2006-07-04,3,Bed Number 3,75,48,27
2006-07-05,1,Bed Number 1,20,20,0
2006-07-05,2,Bed Number 2,34,19,15
2006-07-05,3,Bed Number 3,21,9,12
2006-07-06,1,Bed Number 1,45,42,3
2006-07-06,2,Bed Number 2,82,28,54
2006-07-06,3,Bed Number 3,90,32,58
2006-07-07,1,Bed Number 1,80,39,41
2006-07-07,2,Bed Number 2,18,14,4
2006-07-07,3,Bed Number 3,66,14,52
2006-07-08,1,Bed Number 1,16,13,3
2006-07-08,2,Bed Number 2,13,11,2
2006-07-08,3,Bed Number 3,66,36,30
2006-07-09,1,Bed Number 1,99,81,18
2006-07-09,2,Bed Number 2,85,44,41
2006-07-09,3,Bed Number 3,72,41,31
2006-07-10,1,Bed Number 1,18,16,2
2006-07-10,2,Bed Number 2,47,32,15
2006-07-10,3,Bed Number 3,24,10,14
2006-07-11,1,Bed Number 1,47,10,37
2006-07-11,2,Bed Number 2,43,23,20
2006-07-11,3,Bed Number 3,58,31,27
2006-07-12,1,Bed Number 1,56,31,25
2006-07-12,2,Bed Number 2,33,8,25
2006-07-12,3,Bed Number 3,80,16,64
2006-07-13,1,Bed Number 1,94,82,12
2006-07-13,2,Bed Number 2,34,4,30
2006-07-13,3,Bed Number 3,37,29,8
2006-07-14,1,Bed Number 1,61,9,52
2006-07-14,2,Bed Number 2,67,24,43
2006-07-14,3,Bed Number 3,11,9,2
2006-07-15,1,Bed Number 1,16,8,8
2006-07-15,2,Bed Number 2,48,3,45
2006-07-15,3,Bed Number 3,28,20,8
2006-07-16,1,Bed Number 1,50,24,26
2006-07-16,2,Bed Number 2,58,49,9
2006-07-16,3,Bed Number 3,36,27,9
2006-07-17,1,Bed Number 1,52,45,7
2006-07-17,2,Bed Number 2,36,29,7
2006-07-17,3,Bed Number 3,27,1,26
2006-07-18,1,Bed Number 1,14,8,6
2006-07-18,2,Bed Number 2,12,12,0
2006-07-18,3,Bed Number 3,37,9,28
2006-07-19,1,Bed Number 1,71,49,22
2006-07-19,2,Bed Number 2,52,37,15
2006-07-19,3,Bed Number 3,73,51,22
2006-07-20,1,Bed Number 1,82,8,74
2006-07-20,2,Bed Number 2,84,38,46
2006-07-20,3,Bed Number 3,23,21,2
2006-07-21,1,Bed Number 1,11,4,7
2006-07-21,2,Bed Number 2,81,41,40
